iter	Logloss
0	0.6747650092
1	0.6551115805
2	0.6366042684
3	0.6201917198
4	0.6028207674
5	0.5881930363
6	0.5730182112
7	0.5614827835
8	0.5499827519
9	0.5381838323
10	0.5260031448
11	0.5149325274
12	0.5027552549
13	0.4940832216
14	0.483942767
15	0.4738782541
16	0.4648696601
17	0.4576410053
18	0.4504676941
19	0.4426050542
20	0.4349284468
21	0.4280290621
22	0.4198640109
23	0.4121039003
24	0.4046350618
25	0.3978202644
26	0.3924944862
27	0.3855942884
28	0.3803645891
29	0.3746305367
30	0.370016989
31	0.3662975033
32	0.3619334355
33	0.3567296192
34	0.3528267029
35	0.348787135
36	0.3449524901
37	0.3412773986
38	0.3377213961
39	0.3343046199
40	0.3309183612
41	0.3274952971
42	0.3238444625
43	0.3211085589
44	0.3182219104
45	0.3159910917
46	0.3132020669
47	0.3107443991
48	0.3080797754
49	0.3065701852
50	0.3045146935
51	0.3019621935
52	0.2998004866
53	0.2981405038
54	0.2957883195
55	0.2936083724
56	0.2919524008
57	0.2904653329
58	0.2891285762
59	0.28783681
60	0.286290306
61	0.2851441893
62	0.2829927272
63	0.2817859277
64	0.2805179305
65	0.2796207245
66	0.2781077194
67	0.2771824893
68	0.2756677224
69	0.274149107
70	0.2729445029
71	0.2718418047
72	0.2707173702
73	0.2695474845
74	0.2683953239
75	0.2663925198
76	0.2653562502
77	0.2639317081
78	0.2624148543
79	0.2614553123
80	0.2603721551
81	0.2589508111
82	0.2575855425
83	0.256733354
84	0.2556507388
85	0.2547005743
86	0.2538411223
87	0.252529273
88	0.2521609481
89	0.2512188872
90	0.2501997736
91	0.2492216391
92	0.2485931017
93	0.247786798
94	0.2470850021
95	0.2459459864
96	0.2454296268
97	0.2447047395
98	0.2438568874
99	0.2432361013
100	0.2426306282
101	0.2419411641
102	0.2411222847
103	0.2404378617
104	0.2398798724
105	0.2387538659
106	0.2378510768
107	0.2374049673
108	0.2366280429
109	0.2359041854
110	0.2353594223
111	0.2350506147
112	0.233969165
113	0.2331835948
114	0.2326160926
115	0.2320789452
116	0.230938222
117	0.2302063964
118	0.229251787
119	0.228718949
120	0.2280388895
121	0.2273348847
122	0.2268536366
123	0.2257542178
124	0.225210593
125	0.2245613356
126	0.2240077234
127	0.2234851031
128	0.2227901371
129	0.2220309784
130	0.2212916318
131	0.2207078951
132	0.2199038002
133	0.2194901732
134	0.2186751425
135	0.2181883248
136	0.2176094936
137	0.2170250251
138	0.2164414645
139	0.2158801822
140	0.2154070785
141	0.215075315
142	0.2146751851
143	0.214337852
144	0.2136626438
145	0.2129907151
146	0.2124461687
147	0.2121609947
148	0.211837633
149	0.211455025
150	0.210994402
151	0.2104076162
152	0.2099801262
153	0.2093977987
154	0.2088159592
155	0.2084648308
156	0.207788525
157	0.2074861679
158	0.2070624722
159	0.2066728988
160	0.2062592176
161	0.2059461956
162	0.2054369369
163	0.2050497214
164	0.2045109344
165	0.2037335086
166	0.203354993
167	0.2030239613
168	0.2026959109
169	0.2022894119
170	0.2019632722
171	0.2015588466
172	0.2013098275
173	0.2008569965
174	0.2001906644
175	0.1998420837
176	0.1992927944
177	0.1989490651
178	0.1984889571
179	0.1981703113
180	0.1976679096
181	0.1971657382
182	0.196665315
183	0.1963340122
184	0.1959624214
185	0.1955787293
186	0.1951419973
187	0.1948494513
188	0.1944510289
189	0.1940229968
190	0.1937020473
191	0.1931801452
192	0.1929339448
193	0.1923349763
194	0.1919735761
195	0.1916440486
196	0.1911263068
197	0.190664017
198	0.1901226823
199	0.1898697333
200	0.1896362034
201	0.1893346864
202	0.1887629968
203	0.1885668143
204	0.1882545105
205	0.1878027636
206	0.1876031933
207	0.1869807133
208	0.1864913209
209	0.1861189305
210	0.1855863771
211	0.1849795895
212	0.1847038879
213	0.1844728785
214	0.1838811735
215	0.1837012255
216	0.1834806371
217	0.1831640647
218	0.1828621141
219	0.1824163976
220	0.1821404249
221	0.181976752
222	0.181966724
223	0.1817485071
224	0.1813471982
225	0.1810711713
226	0.1807811324
227	0.1803468667
228	0.1800236812
229	0.1795613236
230	0.1793393936
231	0.1789825738
232	0.1787857408
233	0.1783475452
234	0.1780943252
235	0.1775043006
236	0.1771904385
237	0.1769346031
238	0.1767015881
239	0.17641575
240	0.1761689262
241	0.1759066133
242	0.1755194113
243	0.1752772086
244	0.1750706187
245	0.1747576102
246	0.1744497242
247	0.1742296507
248	0.1736733418
249	0.1734329142
250	0.1731300015
251	0.1727803774
252	0.1725170617
253	0.1720234141
254	0.1717999799
255	0.171475114
256	0.1709673053
257	0.1706172205
258	0.1703741097
259	0.1701040319
260	0.1698868042
261	0.1695668032
262	0.1691221166
263	0.1688717017
264	0.168680208
265	0.168405604
266	0.1682104378
267	0.1680049998
268	0.1677030357
269	0.1673960576
270	0.1670582095
271	0.1668411716
272	0.1666158131
273	0.1665066165
274	0.1660717817
275	0.1659201966
